"variable_id","device_serial","label","value","value_description","unit","timestamp_str","timestamp","bitfield_gas_supplies_ok","bitfield_ac_mains_power_ok","bitfield_battery_charge_ok","bitfield_manual_circuit_leak_ok","bitfield_vent_circuit_leak_ok","bitfield_flow_controls_ok","bitfield_vent_delivery_ok","bitfield_circuit_o2_cell_checked","bitfield_airway_pressure_sensor_ok","bitfield_barometric_pressure_ok","bitfield_safety_valve_ok","bitfield_exhalation_valve_ok","bitfield_o2_conc_sensor_ok","bitfield_o2_flow_sensor_ok","bitfield_air_flow_sensor_ok","bitfield_expiratory_flow_sensor_ok","bitfield_inspiratory_flow_sensor_ok"
"32210","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6287","000000008204526","Patient Circuit Leak Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6992","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"71063","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72210","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6507","000000008204526","Device Display Failure","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72312","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"7974","000000008204526","Low Airway Pressure Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"812","000000008204526","812","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"5712","000000008204526","5712","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"811","000000008204526","811","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8023","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8577","000000008204526","Sub-Atmospheric Paw Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72313","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
